source_paper,target_paper
133638,153574
133638,109900
133638,127117
133638,112632
133638,44649
133638,113438
133638,72676
133638,105535
133638,31471
133638,79240
133638,120117
3893,27320
3893,50167
57080,49180
57080,168885
37082,58612
87329,33955
87329,125272
95289,25169
33066,119204
33066,106889
33066,11407
104448,52776
104448,92570
58395,65021
58395,159648
164057,163776
6448,75749
83333,10551
50443,23487
67672,58041
86002,87540
153499,122981
153499,33194
153499,127077
153499,37206
153499,59884
153499,5370
153499,111338
153499,16086
153499,139761
153499,76514
153499,114722
153499,22086
153499,8634
153499,109425
153499,36734
153499,162458
153499,158525
1,141692
145625,161651
145625,50626
115160,39936
115160,165487
115160,124493
115160,33278
115160,146548
105795,20854
105795,126759
49160,49972
168048,67391
67673,111974
86003,33283
79479,8595
49161,50119
132343,67875
132343,137068
162788,37184
162788,112643
162788,152979
162788,67173
162788,141156
162788,47402
82080,45139
82080,137590
82080,133738
82080,116205
72951,128405
22488,63655
112447,79010
112447,85701
92632,96652
92632,116742
92632,18036
92632,126627
145626,25208
145626,104637
145626,115394
145626,98786
145626,43376
145626,40675
145626,130623
145626,145248
145626,14201
145626,139975
82082,145628
82082,103159
82082,61294
31739,158430
59731,43331
3894,69183
14471,120365
43833,88729
43833,157562
68997,22502
68997,66578
68997,80313
68997,77841
68997,125272
68997,46132
68997,71331
68997,96323
164058,60763
15859,6146
15859,108200
15859,85756
15859,117547
91339,75193
79480,30424
128273,25142
30373,46517
30373,119111
25137,78419
142921,25208
142921,22035
142921,125272
161466,125751
54468,88713
128274,19905
9057,41117
9057,137656
9057,90876
53137,119037
51775,112519
51775,106728
51775,126617
148334,50631
95290,152187
26461,78249
92633,131008
92633,116592
92633,47283
68998,156174
68998,108635
68998,9259
68998,129842
68998,71112
68998,24783
30374,156359
125646,95462
67674,83490
148335,4856
164059,153001
164059,85589
164059,1009
5202,47995
26462,82914
160134,75120
160134,4792
160134,166358
93964,63666
164060,168898
86006,23956
76897,165482
91340,98031
91340,6792
91340,100197
91340,114777
91340,35414
91340,14176
113763,62413
7700,145765
7700,23990
7700,108633
7700,44773
7700,16921
92634,138934
2631,14619
2631,43492
2631,85760
55802,90248
46473,121635
46473,116558
46473,55972
46473,75788
46473,9255
46473,136439
46473,66603
160135,141691
160135,41243
160135,128450
160135,160300
160135,103306
70322,101931
66341,58620
66341,48722
115161,132363
115161,55861
115161,68436
164061,6582
37083,25159
37083,132540
96608,37898
96608,126482
96608,109352
6449,50626
6449,161658
6449,90838
124319,57214
124319,23533
122951,2136
5203,8600
14473,96885
59732,80242
91341,18628
91341,117931
91341,96349
97930,69021
97930,88753
97930,168171
97930,166844
97930,155046
97930,42039
161467,75143
83334,35786
83334,105934
83334,39948
83334,165561
83334,122540
39810,153666
39810,125272
55803,61177
55803,85602
55803,141175
55803,31330
55803,23538
25138,107197
25138,165396
25138,9158
25138,1457
25138,34554
25138,136397
25138,2816
25138,143125
25138,33278
25138,14677
25138,41380
25138,3426
25138,80282
25138,37939
25138,9880
25138,13954
25138,146548
25138,18134
25138,23534
43834,100582
64998,84129
64998,97387
64998,129115
64998,139792
111122,92364
9058,123774
9058,158583
64999,168885
64999,4756
65000,6078
122952,22502
122952,33955
122952,58062
158834,108039
158834,166263
130944,135008
164062,160164
164062,162909
164062,58554
88687,100184
88687,142855
107157,22502
107157,98045
107157,30510
107157,18719
107157,33955
107157,125272
107157,46132
107157,139975
62346,5971
62346,127826
62346,43555
22489,93518
22489,43323
22489,19455
22489,4943
26463,33915
128275,82126
128275,126582
87331,4877
122953,149346
132344,154960
132344,44669
132344,166396
146985,70459
146985,7874
146985,40008
11647,25172
108481,13251
108481,65876
108481,76601
5204,123139
5204,69812
5204,106699
5204,94874
5204,125219
136246,156289
136246,35943
136246,104662
136246,161678
136246,93582
136246,106854
136246,26202
136246,150639
107158,160261
107158,74461
107158,33238
107158,65187
107158,123813
166720,98774
166720,127892
130945,31895
130945,69197
130945,16924
79481,135813
79481,158451
130946,11648
130946,22591
130946,129836
130946,87010
130946,7412
130946,42142
160136,70414
160136,94882
160136,38173
160136,162531
9059,164237
9059,77868
80758,164092
80758,33206
80758,80876
80758,103299
80758,23993
80758,139118
80758,93485
80758,92213
80758,94898
80758,94929
80758,59410
80758,1008
80758,98939
157510,143047
157510,92800
157510,33271
157510,164257
157510,143831
157510,100142
157510,42013
157510,26129
58397,35867
58397,28771
58397,18349
128276,88713
92637,142468
92637,87042
137537,73908
137537,56817
17251,113910
124320,55902
124320,14201
66342,71766
66342,65232
66342,93512
66342,55373
140238,81660
144246,158896
144246,38108
57082,55907
57082,152372
57082,113323
57082,92275
29102,87365
29102,116742
29102,75237
29102,147980
29102,42155
90070,41249
111123,28723
55804,125649
55804,74811
47785,166738
47785,19905
47785,49213
47785,39298
6450,149737
168049,96766
17252,145744
17252,162364
116476,116592
120348,88829
120348,127083
120348,34570
120348,10533
120348,88923
120348,159044
120348,116674
120348,25346
103143,127026
103143,98986
65001,4025
124322,162818
124322,35851
124322,147810
124322,19580
133639,133173
157511,67687
107159,32627
107159,110779
50444,149656
50444,51867
50444,35253
50444,108039
50444,149294
50444,72682
126954,124491
126954,90226
165351,67794
165351,11789
165351,29227
165351,154999
165351,161678
165351,16086
165351,10705
165351,150482
165351,167604
165351,97555
117755,22591
58398,168094
58398,2834
58398,85660
55805,114696
158835,166320
161468,92695
161468,123017
161468,18120
161468,96348
63638,74363
63638,8522
63638,113409
63638,51515
76898,73061
76898,65192
76898,71265
76898,96295
43835,28641
10351,1443
10351,115297
10351,14615
10351,9220
10351,83525
10351,24044
10351,123147
10351,45321
10351,139683
10351,100088
10351,71191
10351,112050
10351,80404
10351,11299
10351,89821
10351,19645
82083,61168
21185,79646
21185,54188
21185,23587
18562,35867
18562,22155
134967,41906
93965,46025
93965,67291
82084,105904
82084,151032
152161,45276
165352,44846
121622,162919
121622,38823
121622,8546
79482,22508
79482,87545
79482,94852
141540,2680
141540,13189
141540,80881
141540,101399
141540,6047
128278,107195
128278,162845
128278,151160
168050,61061
168050,41906
144247,74455
84679,2283
120349,99401
120349,29236
67676,113930
138895,59683
86007,143086
72952,80881
72952,88154
72952,93518
72952,55463
72952,101543
72952,165082
72952,24871
72952,42178
72952,4943
59733,124505
59733,91505
59733,147939
62347,33922
23847,13230
23847,20030
23847,104005
23847,109383
23847,167801
38433,10528
108482,112524
108482,82196
108482,151037
108482,129835
108482,108171
22490,77104
22490,106710
22490,64708
107160,100668
107160,129784
107160,98107
107160,168240
107160,119218
107160,111332
107160,3457
107160,60642
107160,90964
107160,113389
107160,101482
107160,24823
107160,109463
107160,112151
107160,8761
145627,89572
145627,155865
125647,99452
125647,157718
125647,56572
125647,155667
125647,85674
125647,161140
125647,130662
137538,91411
137538,33245
137538,153685
137538,53325
137538,161148
14475,29350
14475,27426
115163,34554
115163,103313
115163,86151
115163,22666
115163,2816
115163,90232
115163,112639
115163,51959
115163,144450
115163,161677
115163,136642
115163,82518
115163,165824
115163,73918
115163,80402
65002,50583
124323,108169
67677,121742
67677,10554
96609,25975
96609,163769
25139,137560
25139,117495
154853,47404
23848,168172
23848,7837
23848,30523
23848,164193
23848,53275
23848,107326
23848,116654
23848,103351
23848,55992
23848,99474
23848,92138
23848,90912
23848,68590
23848,145243
23848,72671
23848,52876
76900,132364
76900,83450
76900,92129
76900,72517
76900,141171
86008,3549
84680,109807
84680,140264
84680,167582
84680,9918
84680,135815
84680,88252
84680,3496
84680,98851
84680,167730
87332,97932
87332,152
87332,119187
87332,79642
87332,4905
87332,108201
97931,119148
97931,156313
97931,104077
133640,154911
133640,168248
133640,47266
133640,131864
133640,63338
43836,39561
74314,113786
74314,4127
82085,109371
82085,31381
39811,93674
137539,25296
137539,1494
137539,38613
45120,51301
122955,22502
122955,66578
122955,125272
88688,25319
83335,81620
29103,45178
29103,74426
29103,166889
29103,117931
29103,130457
29103,43285
29103,119915
29103,11323
29103,167730
29103,101559
29103,118733
93966,108572
29104,61100
29105,106833
146986,99378
146986,131796
146986,56651
146986,38044
146986,6208
142924,14669
2,168209
2,18735
2,119218
2,22689
2,50646
2,158293
2,80266
2,134600
2,165020
2632,15865
2632,23935
2632,37202
2632,103313
2632,119218
2632,63844
2632,86823
2632,153223
152163,149719
31740,125823
31740,161678
100550,53194
100550,47894
21186,158460
107161,87536
7703,63838
7703,133309
3895,51401
91343,3913
23849,15992
41116,75692
136248,1388
136248,81567
136248,63249
2633,124346
2633,137596
2633,109926
2633,141729
2633,38605
