model,node_id,true_class,predicted_class,confidence
GCN,1170,16,16,0.99284595
GCN,1171,16,16,0.98074716
GCN,1172,16,16,0.69918257
GCN,1173,10,27,0.3811628
GCN,1174,24,24,0.7963016
GCN,1175,10,37,0.3898057
GCN,1176,30,30,0.6484349
GCN,1177,10,10,0.9519273
GCN,1178,16,16,0.98795044
GCN,1179,30,30,0.8375641
GCN,1180,8,8,0.63851106
GCN,1181,28,28,0.8742656
GCN,1182,24,24,0.91383463
GCN,1183,34,34,0.7573121
GCN,1184,34,34,0.7359456
GCN,1185,6,10,0.27943668
GCN,1186,24,24,0.301376
GCN,1187,5,4,0.5039476
GCN,1189,24,16,0.92668945
GCN,1190,24,16,0.4914937
GCN,1191,30,30,0.9803618
GCN,1192,2,24,0.27234268
GCN,1193,16,16,0.9610408
GCN,1194,2,2,0.5966954
GCN,1195,24,24,0.7203423
GCN,1196,4,24,0.27776602
GCN,1197,6,10,0.41120386
GCN,1198,34,34,0.9116639
GCN,1199,16,16,0.996227
GCN,1200,34,26,0.59288746
GCN,1201,24,24,0.63284713
GCN,1202,30,30,0.9533339
GCN,1203,27,27,0.3870164
GCN,1204,16,16,0.90761745
GCN,1205,16,16,0.93839127
GCN,1206,8,5,0.32846788
GCN,1207,22,2,0.6668642
GCN,1208,24,16,0.5139907
GCN,1209,39,20,0.78357184
GCN,1210,10,16,0.9794383
GCN,1211,30,10,0.41541225
GCN,1212,24,10,0.25146982
GCN,1213,26,26,0.284675
GCN,1214,24,10,0.55716705
GCN,1215,24,16,0.7089009
GCN,1216,24,30,0.8274119
GCN,1217,30,16,0.3148139
GCN,1218,24,24,0.41536587
GCN,1219,36,24,0.31362712
GCN,1220,24,24,0.716905
GCN,1221,30,30,0.869089
GCN,1222,24,16,0.6434475
GCN,1223,16,16,0.85117096
GCN,1224,16,16,0.9848721
GCN,1225,24,24,0.34633324
GCN,1226,30,30,0.3510262
GCN,1227,11,10,0.42511746
GCN,1228,34,34,0.86023945
GCN,1229,28,28,0.397039
GCN,1230,27,16,0.62097853
GCN,1231,16,16,0.81848484
GCN,1232,16,0,0.10098389
GCN,1233,38,38,0.6922821
GCN,1234,16,16,0.9794414
GCN,1235,24,24,0.7531041
GCN,1236,16,16,0.7749371
GCN,1237,18,13,0.7788103
GCN,1238,16,16,0.5989905
GCN,1239,24,24,0.6731248
GCN,1240,16,16,0.9836859
GCN,1241,16,16,0.84317166
GCN,1242,5,24,0.40278715
GCN,1243,28,28,0.60858184
GCN,1244,24,24,0.2974898
GCN,1245,34,24,0.8130559
GCN,1246,16,16,0.96734995
GCN,1247,31,30,0.9235095
GCN,1248,27,27,0.36483428
GCN,1249,16,16,0.83787954
GCN,1250,23,23,0.3211717
GCN,1251,16,16,0.9566903
GCN,1252,16,16,0.96243316
GCN,1253,16,16,0.72805303
GCN,1254,24,10,0.49447265
GCN,1255,24,24,0.4622225
GCN,1256,16,16,0.98691815
GCN,1257,24,24,0.4607344
GCN,1258,24,16,0.8687909
GCN,1259,16,24,0.7036363
GCN,1260,24,24,0.91465276
GCN,1261,25,25,0.85136616
GCN,1262,39,34,0.9000254
GCN,1263,8,28,0.8137141
GCN,1264,30,16,0.9365819
GCN,1265,24,24,0.8176574
GCN,1266,5,5,0.85920984
GCN,1267,2,2,0.7577229
GCN,1268,9,9,0.8961996
GCN,1269,28,28,0.9040819
GCN,1270,16,16,0.52977985
GCN,1271,7,24,0.5044595
GCN,1272,27,27,0.94198054
GCN,1273,28,28,0.6635942
GCN,1274,31,31,0.50831616
GCN,1275,28,28,0.956726
GCN,1276,30,30,0.77795994
GCN,1277,4,4,0.58412373
GCN,1278,11,36,0.2064525
GCN,1279,34,34,0.63739026
GCN,1280,16,13,0.21762617
GCN,1281,30,30,0.55062276
GCN,1282,28,28,0.58758587
GCN,1283,16,16,0.9255402
GCN,1284,28,28,0.6934484
GCN,1285,15,5,0.12736927
GCN,1286,24,24,0.35361335
GCN,1287,4,4,0.6360735
GCN,1288,27,24,0.37804842
GCN,1289,24,10,0.4123461
GCN,1290,4,5,0.60469544
GCN,1291,16,16,0.7973869
GCN,1292,10,10,0.4115628
GCN,1293,28,28,0.7658633
GCN,1294,25,30,0.34892836
GCN,1295,24,24,0.63375705
GCN,1296,36,36,0.7516269
GCN,1297,11,24,0.5369972
GCN,1298,16,16,0.9850535
GCN,1299,16,16,0.76603836
GCN,1300,9,37,0.56837046
GCN,1301,2,9,0.5826414
GCN,1302,16,16,0.8702524
GCN,1303,15,13,0.3135986
GCN,1304,28,28,0.73242116
GCN,1305,24,30,0.9085045
GCN,1306,4,4,0.15010813
GCN,1307,36,36,0.7060277
GCN,1308,5,5,0.95541984
GCN,1309,29,8,0.38183454
GCN,1310,27,27,0.59004766
GCN,1311,16,16,0.9332958
GCN,1312,24,24,0.85999
GCN,1313,24,24,0.43028817
GCN,1314,10,10,0.5435536
GCN,1315,34,34,0.54442567
GCN,1316,24,24,0.65922606
GCN,1317,34,34,0.8553691
GCN,1318,30,30,0.96936584
GCN,1319,16,16,0.64203906
GCN,1320,16,16,0.9650685
GCN,1321,34,26,0.296922
GCN,1322,30,30,0.7491832
GCN,1323,30,30,0.98834234
GCN,1324,16,16,0.6593066
GCN,1325,24,24,0.70833385
GCN,1327,24,24,0.56242424
GCN,1328,16,16,0.9925559
GCN,1329,16,16,0.35489178
GCN,1330,20,20,0.61518234
GCN,1707,27,27,0.4270563
GCN,1833,4,26,0.56713265
GCN,1874,34,34,0.37974176
GCN,1875,16,16,0.9862926
GCN,1912,16,16,0.982874
GCN,1921,23,23,0.87577635
GCN,1930,30,30,0.6996316
GCN,1938,16,16,0.90074795
GCN,1940,28,28,0.9851238
GCN,1944,16,16,0.77735054
GCN,1956,18,4,0.7671597
GCN,1958,16,16,0.71442384
GCN,1965,8,4,0.7693246
GCN,1978,31,24,0.23136972
GCN,1980,4,4,0.7461279
GCN,1984,30,30,0.91541225
GCN,1985,16,16,0.49965894
GCN,1991,20,20,0.7654914
GCN,1993,24,24,0.5163563
GCN,1995,37,37,0.55381095
GCN,1996,30,30,0.97379524
GCN,1997,24,24,0.6374372
GCN,1998,5,16,0.5394896
GCN,1999,24,24,0.9471329
GCN,2000,31,31,0.5784751
GCN,2001,16,16,0.9591603
GCN,2002,16,16,0.93925744
GCN,2003,24,24,0.7845772
GCN,2004,16,16,0.9640478
GCN,2005,16,16,0.97934943
GCN,2006,16,16,0.97497547
GCN,2007,16,16,0.93498105
GCN,2008,8,8,0.8261285
GCN,2009,8,16,0.15768586
GCN,2010,8,8,0.6896754
GCN,2011,30,30,0.95298904
GCN,2012,16,16,0.8928924
GCN,2013,5,5,0.6799133
GCN,2014,28,28,0.9978707
GCN,2015,37,37,0.696951
GCN,2016,4,4,0.54453605
GCN,2017,34,34,0.579186
GCN,2018,26,26,0.8385891
GCN,2019,36,26,0.69960976
GCN,2020,9,34,0.51289713
GCN,2021,24,24,0.45586097
GCN,2022,5,5,0.3574988
GCN,2023,10,27,0.59159696
GCN,2024,32,5,0.2749959
GCN,2025,36,4,0.33839488
GCN,2026,1,16,0.3488019
GCN,2027,27,27,0.7927182
GCN,2028,28,28,0.77878875
GCN,2029,26,26,0.8930301
GCN,2030,27,27,0.5631602
GCN,2031,16,16,0.6971829
GCN,2032,16,16,0.94105315
GCN,2033,16,16,0.58811295
GCN,2034,5,5,0.43094888
GCN,2035,16,16,0.3673685
GCN,2036,16,16,0.8956397
GCN,2037,27,16,0.70444334
GCN,2038,8,8,0.8099304
GCN,2039,36,24,0.28387737
GCN,2041,16,16,0.73679346
GCN,2042,24,24,0.5985599
GCN,2043,16,16,0.4685578
GCN,2044,30,30,0.9869033
GCN,2045,16,16,0.85944223
GCN,2046,28,28,0.676704
GCN,2047,16,16,0.9775457
GCN,2048,24,16,0.7437557
GCN,2049,39,34,0.27738214
GCN,2050,16,16,0.9782525
GCN,2051,24,10,0.3268281
GCN,2052,16,16,0.983257
GCN,2053,24,24,0.43418416
GCN,2054,24,24,0.7651716
GCN,2055,29,16,0.25660303
GCN,2056,16,16,0.9653382
GCN,2057,30,30,0.8008801
GCN,2058,24,24,0.70799786
GCN,2059,24,10,0.26403004
GCN,2060,16,16,0.43103915
GCN,2061,30,30,0.634299
GCN,2062,16,16,0.3807236
GCN,2063,16,16,0.596785
GCN,2064,16,16,0.9531766
GCN,2065,8,8,0.7942808
GCN,2066,30,30,0.94674546
GCN,2067,34,34,0.8517449
GCN,2068,24,24,0.2522256
GCN,2069,4,4,0.8715312
GCN,2070,31,31,0.38849545
GCN,2071,24,16,0.64463687
GCN,2072,5,5,0.42560259
GCN,2073,24,16,0.32619485
GCN,2074,24,10,0.4607037
GCN,2075,16,16,0.9305537
GCN,2076,16,16,0.8760714
GCN,2078,36,36,0.83272296
GCN,2079,8,24,0.5439319
GCN,2080,16,16,0.996869
GCN,2081,24,24,0.5300302
GCN,2082,4,28,0.8681041
GCN,2083,33,10,0.16208087
GCN,2084,24,24,0.51902646
GCN,2085,10,30,0.44523966
GCN,2086,28,28,0.3287031
GCN,2087,16,16,0.58194757
GCN,2088,36,36,0.9215766
GCN,2089,22,10,0.47771654
GCN,2090,30,30,0.8190809
GCN,2091,10,37,0.29222468
GCN,2092,24,30,0.39689228
GCN,2093,24,24,0.94855875
GCN,2095,16,16,0.5058438
GCN,2096,24,24,0.60985285
GCN,2097,24,16,0.57238495
GCN,2098,24,24,0.5453949
GCN,2099,16,16,0.9803972
GCN,2100,19,4,0.3710351
GCN,2101,4,4,0.60696864
GCN,2102,24,24,0.29464096
GCN,2103,24,24,0.68833333
GCN,2104,10,10,0.5635596
GCN,2105,24,16,0.5033163
GCN,2106,30,30,0.92711776
GCN,2107,4,4,0.59243137
GCN,2108,24,24,0.57216483
GCN,2109,28,28,0.8524576
GCN,2110,24,24,0.3826389
GCN,2111,16,16,0.90143657
GCN,2112,16,16,0.9520296
GCN,2117,16,16,0.49802703
GCN,2128,24,16,0.59298706
GCN,2156,30,30,0.9055142
GCN,2158,24,24,0.77034116
GCN,2182,24,16,0.5303027
GCN,2184,16,16,0.99568295
GCN,2187,23,30,0.3050005
GCN,2202,37,5,0.79683477
GCN,2208,30,30,0.9023915
GCN,2218,20,34,0.53628254
GCN,2231,20,20,0.82634044
GCN,2243,30,30,0.92458314
GCN,2244,28,28,0.3732488
GCN,2245,16,24,0.3219449
GCN,2250,16,16,0.96031195
GCN,2259,2,2,0.6992032
GCN,2262,24,24,0.48377275
GCN,2266,26,26,0.8718001
GCN,2278,39,5,0.47344083
GCN,2293,26,26,0.8743377
GCN,2294,34,34,0.68357134
GCN,2298,2,2,0.46769133
GCN,2318,30,30,0.9926778
GCN,2321,10,10,0.31491446
GCN,2347,30,30,0.9713865
GCN,2366,8,8,0.27848232
GCN,2367,30,30,0.9853043
GCN,2368,16,16,0.9800827
GCN,2378,16,16,0.9695449
GCN,2379,29,5,0.66457045
GCN,2381,16,16,0.91285294
GCN,2383,10,10,0.9451841
GCN,2384,24,16,0.775907
GCN,2386,28,5,0.3409684
GCN,2387,34,34,0.59657985
GCN,2388,32,34,0.31465864
GCN,2389,24,16,0.24094076
GCN,2390,6,37,0.41040176
GCN,2391,16,16,0.52239233
GCN,2392,16,16,0.89121085
GCN,2393,16,16,0.85121673
GCN,2394,9,9,0.5559242
GCN,2395,16,16,0.9378431
GCN,2396,24,16,0.3742124
GCN,2397,34,9,0.46806538
GCN,2398,16,16,0.9551078
GCN,2402,24,10,0.57167596
GCN,2403,30,30,0.94047564
GCN,2404,38,38,0.7186765
GCN,2405,10,10,0.41657454
GCN,2408,16,16,0.89924115
GCN,2409,24,24,0.46424073
GCN,2410,24,13,0.33740923
GCN,2411,30,30,0.99176824
GCN,2412,24,24,0.7755108
GCN,2413,30,30,0.69565576
GCN,2414,16,16,0.9905302
GCN,2415,16,16,0.9833851
GCN,2416,16,16,0.9919059
GCN,2417,23,4,0.18577716
GCN,2418,16,24,0.276603
GCN,2419,4,4,0.7418344
GCN,2420,5,5,0.68545705
GCN,2421,31,30,0.6419492
GCN,2422,4,8,0.7403453
GCN,2423,24,24,0.7446096
GCN,2424,24,24,0.628512
GCN,2425,3,3,0.6435197
GCN,2426,24,30,0.8295774
GCN,2427,16,16,0.95455366
GCN,2428,6,6,0.50561124
GCN,2429,24,24,0.6550295
GCN,2430,24,30,0.5257639
GCN,2431,2,10,0.33417702
GCN,2432,30,30,0.7778091
GCN,2433,16,16,0.9422175
GCN,2434,2,10,0.7561917
GCN,2435,23,8,0.40054777
GCN,2436,16,16,0.98867875
GCN,2437,16,16,0.98933464
GCN,2438,4,4,0.64966965
GCN,2439,30,30,0.9441751
GCN,2440,13,16,0.2970842
GCN,2441,16,16,0.9363639
GCN,2442,16,16,0.94935834
GCN,2443,16,16,0.9355369
GCN,2444,30,30,0.90314454
GCN,2445,10,27,0.30840427
GCN,2446,23,24,0.27426094
GCN,2447,16,16,0.98973536
GCN,2448,34,34,0.3692533
GCN,2449,36,36,0.8945
GCN,2451,30,30,0.8831623
GCN,2452,16,16,0.6637447
GCN,2453,27,27,0.6975105
GCN,2454,27,27,0.99555814
GCN,2455,24,24,0.5651823
GCN,2456,10,10,0.33862656
GCN,2457,8,8,0.8942038
GCN,2458,24,24,0.19979373
GCN,2459,4,4,0.3043367
GCN,2460,16,16,0.8510288
GCN,2461,28,24,0.43845513
GCN,2462,16,16,0.8985937
GCN,2463,27,27,0.9408239
GCN,2464,36,36,0.5208841
GCN,2465,27,27,0.33511123
GCN,2466,16,16,0.9260415
GCN,2467,24,26,0.45168626
GCN,2468,24,24,0.39559433
GCN,2469,28,28,0.9320219
GCN,2471,24,24,0.8164448
GCN,2472,34,34,0.7496831
GCN,2473,28,28,0.36224937
GCN,2474,36,36,0.9716997
GCN,2475,15,5,0.7705931
GCN,2476,11,24,0.35085592
GCN,2477,24,24,0.5629291
GCN,2478,28,39,0.2954316
GCN,2479,24,10,0.38863155
GCN,2480,16,16,0.9960056
GCN,2481,24,24,0.6196335
GCN,2482,3,10,0.21545187
GCN,2483,24,16,0.924432
GCN,2484,27,27,0.43249467
GCN,2485,16,16,0.99327266
GCN,2486,16,16,0.68387675
GCN,2487,25,16,0.50036424
GCN,2488,24,24,0.31985262
GCN,2489,26,26,0.9852308
GCN,2490,24,24,0.4159667
GCN,2491,27,27,0.37720674
GCN,2492,27,16,0.6529296
GCN,2493,24,24,0.6483907
GCN,2494,1,16,0.91773105
GCN,2495,16,16,0.97885156
GCN,2496,24,16,0.7270192
GCN,2497,5,24,0.37537524
GCN,2498,24,24,0.65156496
GCN,2499,2,2,0.5898804
GCN,2500,16,16,0.3895084
GCN,2501,5,8,0.37615883
GCN,2502,13,24,0.18011689
GCN,2503,28,28,0.98895895
GCN,2504,31,31,0.49539766
GCN,2505,16,16,0.7089984
GCN,2506,23,2,0.5964247
GCN,2507,27,27,0.98235637
GCN,2508,16,16,0.9789995
GCN,2509,28,28,0.3986926
GCN,2510,27,16,0.43809375
GCN,2511,4,4,0.5448112
GCN,2512,16,16,0.7556729
GCN,2513,16,16,0.96541137
GCN,2514,27,27,0.8037073
GCN,2515,10,36,0.6394588
GCN,2516,2,2,0.5858833
GCN,2517,18,13,0.29231483
GCN,2518,4,8,0.45749238
GCN,2519,34,34,0.5658182
GCN,2520,34,34,0.2427263
GCN,2521,30,30,0.9888526
GCN,2522,34,34,0.483705
GCN,2523,24,16,0.9466868
GCN,2524,16,16,0.96296483
GCN,2525,16,30,0.48052773
GCN,2526,27,27,0.86086875
GCN,2527,16,16,0.7449984
GCN,2528,24,16,0.40035716
GCN,2529,16,16,0.92548263
GCN,2530,16,16,0.8995374
GCN,2531,16,16,0.977489
GCN,2532,34,34,0.6766298
GCN,2533,16,24,0.5663462
GCN,2534,31,31,0.70815647
GCN,2535,28,28,0.98159367
GCN,2536,24,24,0.5890162
GCN,2537,2,2,0.57815754
GCN,2538,10,27,0.45801526
GCN,2539,24,10,0.33921006
GCN,2540,3,10,0.5163991
GCN,2541,31,26,0.30428037
GCN,2542,8,16,0.26135123
GCN,2543,16,16,0.9798884
GCN,2544,16,16,0.67207193
GCN,2545,26,16,0.91468716
GCN,2546,24,24,0.7005429
GCN,2547,16,16,0.9890274
GCN,2548,28,28,0.9516779
GCN,2549,16,16,0.98842514
GCN,2550,8,8,0.93933856
GCN,2551,9,9,0.6616751
GCN,2552,25,30,0.42001253
GCN,2553,16,16,0.9975399
GCN,2554,24,16,0.5017232
GCN,2555,16,16,0.50856966
GCN,2556,8,8,0.44270986
GCN,2557,8,26,0.4876948
GCN,2558,23,23,0.84235394
GCN,2559,24,16,0.43537465
GCN,2560,7,16,0.2145199
GCN,2561,25,25,0.6691067
GCN,2562,28,28,0.62598217
GCN,2563,4,4,0.7094492
GCN,2564,16,16,0.42219085
GCN,2565,27,27,0.30940315
GCN,2566,19,2,0.30502295
GCN,2567,24,30,0.8197453
GCN,2568,8,8,0.71718943
GCN,2569,30,30,0.9369985
GCN,2570,4,16,0.9680844
GCN,2571,24,24,0.44178107
GCN,2572,16,16,0.9898114
GCN,2573,24,24,0.50873756
GCN,2574,24,24,0.4666416
GCN,2575,30,16,0.61539096
GCN,2576,36,36,0.7773664
GCN,2577,16,16,0.9824584
GCN,2578,16,16,0.7402707
GCN,2579,10,24,0.46349943
GCN,2580,16,16,0.63560665
GCN,2581,26,26,0.59402007
GCN,2582,16,16,0.9323833
GCN,2583,24,24,0.9078886
GCN,2584,28,28,0.5969671
GCN,2585,16,16,0.7570123
GCN,2586,28,28,0.8585057
GCN,2588,24,24,0.6386914
GCN,2589,30,30,0.27015227
GCN,2590,4,4,0.60313004
GCN,2591,5,24,0.21064661
GCN,2592,26,26,0.3178764
GCN,2593,38,30,0.35075802
GCN,2594,22,23,0.31853104
GCN,2595,28,28,0.97263306
GCN,2596,24,24,0.82092196
GCN,2597,18,18,0.30935583
GCN,2598,24,16,0.2997652
GCN,2599,18,13,0.60975444
GCN,2600,16,24,0.36728856
GCN,2601,24,16,0.54195994
GCN,2602,6,3,0.2804563
GCN,2603,22,24,0.19702141
GCN,2604,16,16,0.70253545
GCN,2605,13,24,0.45856252
GCN,2606,28,28,0.4554288
GCN,2607,4,4,0.7467154
GCN,2608,16,16,0.79765224
GCN,2609,4,4,0.44117704
GCN,2610,34,34,0.64009833
GCN,2611,24,24,0.34117842
GCN,2612,27,16,0.9013591
GCN,2613,11,24,0.43408766
GCN,2614,30,30,0.9075792
GCN,2615,27,27,0.84751666
GCN,2616,2,10,0.5661954
GCN,2617,28,28,0.5844115
GCN,2618,30,30,0.5227446
GCN,2619,16,16,0.9898346
GCN,2620,4,4,0.620582
GCN,2621,36,36,0.39083266
GCN,2622,16,16,0.83696425
GCN,2623,4,4,0.69597334
GCN,2624,29,8,0.17444555
GCN,2625,16,16,0.72824323
GCN,2626,2,2,0.40072218
GCN,2627,16,16,0.94459
GCN,2628,16,16,0.8136418
GCN,2629,16,16,0.87795323
GCN,2630,16,16,0.870025
GCN,2979,16,16,0.476695
GCN,3098,1,16,0.97494125
GCN,3102,16,16,0.96639055
GCN,3141,16,16,0.6408207
GCN,3173,19,24,0.34203905
GCN,3200,26,26,0.9053987
GCN,3206,37,16,0.57739824
GCN,3248,16,16,0.99611294
GCN,3256,25,25,0.9363913
GCN,3262,16,16,0.7975629
GCN,3271,31,31,0.5516416
GCN,3296,30,30,0.82703733
GCN,3297,10,10,0.47063825
GCN,3298,19,24,0.44253445
GCN,3299,33,2,0.5500496
GCN,3300,16,16,0.8753985
GCN,3301,16,16,0.9901272
GCN,3302,28,28,0.9244543
GCN,3303,16,16,0.9011087
GCN,3304,24,16,0.45763007
GCN,3305,24,16,0.40543106
GCN,3306,31,24,0.3095757
GCN,3307,16,16,0.70276386
GCN,3308,13,24,0.24580671
GCN,3309,16,16,0.91616416
GCN,3310,28,28,0.92431676
GCN,3311,4,8,0.86649746
GCN,3314,24,24,0.555612
GCN,3315,30,30,0.9699542
GCN,3316,28,28,0.9643487
GCN,3317,24,24,0.90905136
GCN,3318,16,16,0.96217763
GCN,3319,4,24,0.13367942
GCN,3320,24,16,0.31008443
GCN,3321,38,38,0.59283626
GCN,3322,30,24,0.45251817
